id;language_code;display_language_code;name
284;ar;lv;Arabic
285;ar;lt;Arabic
286;ar;mk;Arabic
287;ar;mt;Arabic
288;ar;mn;Arabic
289;ar;ne;Arabic
290;ar;nl;Arabisch
291;ar;nb;Arabisk
292;ar;pa;Arabic
293;ar;pl;arabski
294;ar;pt-pt;Árabe
295;ar;pt-br;Árabe
296;ar;qu;Arabic
297;ar;ro;Arabică
298;ar;ru;Арабский
299;ar;sl;Arabščina
300;ar;so;Arabic
301;ar;sq;Arabic
302;ar;sr;арапски
303;ar;sv;Arabiska
304;ar;ta;Arabic
305;ar;th;อารบิก
306;ar;tr;Arapça
307;ar;uk;Arabic
308;ar;ur;Arabic
309;ar;uz;Arabic
310;ar;vi;Arabic
311;ar;yi;Arabic
312;ar;zh-hans;阿拉伯语
313;ar;zu;Arabic
314;ar;zh-hant;阿拉伯語
315;ar;ms;Arabic
316;bs;en;Bosnian
317;bs;es;Bosnio
318;bs;de;Bosnisch
319;bs;fr;Bosnien
320;bs;ar;البوسنية
321;bs;bs;Bosnian
322;bs;bg;Босненски
323;bs;ca;Bosnian
324;bs;cs;Bosenština
325;bs;sk;Bosniačtina
326;bs;cy;Bosnian
327;bs;da;Bosnian
328;bs;el;Βοσνιακα
329;bs;eo;Bosnian
330;bs;et;Bosnian
331;bs;eu;Bosnian
332;bs;fa;Bosnian
333;bs;fi;bosnia
334;bs;ga;Bosnian
335;bs;he;בוסנית
336;bs;hi;Bosnian
337;bs;hr;Bosanski
338;bs;hu;bosnyák
339;bs;hy;Bosnian
340;bs;id;Bosnian
341;bs;is;Bosnian
342;bs;it;Bosniaco
343;bs;ja;ボスニア語
344;bs;ko;보즈니아어
345;bs;ku;Bosnian
346;bs;la;Bosnian
347;bs;lv;Bosnian
348;bs;lt;Bosnian
349;bs;mk;Bosnian
350;bs;mt;Bosnian
351;bs;mn;Bosnian
352;bs;ne;Bosnian
353;bs;nl;Bosnisch
354;bs;nb;Bosnisk
355;bs;pa;Bosnian
356;bs;pl;bośniacki
357;bs;pt-pt;Bósnio
358;bs;pt-br;Bósnio
359;bs;qu;Bosnian
360;bs;ro;Bosniacă
361;bs;ru;Боснийский
362;bs;sl;Bosanski
363;bs;so;Bosnian
364;bs;sq;Bosnian
365;bs;sr;босански
366;bs;sv;Bosniska
367;bs;ta;Bosnian
368;bs;th;บอสเนียน
369;bs;tr;Boşnakça
370;bs;uk;Bosnian
371;bs;ur;Bosnian
372;bs;uz;Bosnian
373;bs;vi;Bosnian
374;bs;yi;Bosnian
375;bs;zh-hans;波斯尼亚语
376;bs;zu;Bosnian
377;bs;zh-hant;波士尼亞語
378;bs;ms;Bosnian
379;bg;en;Bulgarian
380;bg;es;Búlgaro
381;bg;de;Bulgarisch
382;bg;fr;Bulgare
383;bg;ar;البلغارية
384;bg;bs;Bulgarian
385;bg;bg;Български
386;bg;ca;Bulgarian
387;bg;cs;Bulharština
388;bg;sk;Bulharčina
389;bg;cy;Bulgarian
390;bg;da;Bulgarian
391;bg;el;Βουλγαρικα
392;bg;eo;Bulgarian
393;bg;et;Bulgarian
394;bg;eu;Bulgarian
395;bg;fa;Bulgarian
396;bg;fi;bulgaria
397;bg;ga;Bulgarian
398;bg;he;בולגרית
399;bg;hi;Bulgarian
400;bg;hr;Bugarski
401;bg;hu;bolgár
402;bg;hy;Bulgarian
403;bg;id;Bulgarian
404;bg;is;Bulgarian
405;bg;it;Bulgaro
406;bg;ja;ブルガリア語
407;bg;ko;불가리아어
408;bg;ku;Bulgarian
409;bg;la;Bulgarian
410;bg;lv;Bulgarian
411;bg;lt;Bulgarian
412;bg;mk;Bulgarian
413;bg;mt;Bulgarian
414;bg;mn;Bulgarian
415;bg;ne;Bulgarian
416;bg;nl;Bulgaars
417;bg;nb;Bulgarian
418;bg;pa;Bulgarian
419;bg;pl;bułgarski
420;bg;pt-pt;Búlgaro
421;bg;pt-br;Búlgaro
422;bg;qu;Bulgarian
423;bg;ro;Bulgară
424;bg;ru;Болгарский
425;bg;sl;Bolgarščina
426;bg;so;Bulgarian
427;bg;sq;Bulgarian
428;bg;sr;бугарски
429;bg;sv;Bulgariska
430;bg;ta;Bulgarian
431;bg;th;บัลแกเรียน
432;bg;tr;Bulgarca
433;bg;uk;Bulgarian
434;bg;ur;Bulgarian
435;bg;uz;Bulgarian
436;bg;vi;Bulgarian
437;bg;yi;Bulgarian
438;bg;zh-hans;保加利亚语
439;bg;zu;Bulgarian
440;bg;zh-hant;保加利亞語
441;bg;ms;Bulgarian
442;ca;en;Catalan
443;ca;es;Catalán
444;ca;de;Katalanisch
445;ca;fr;Catalan
446;ca;ar;الكاتالوينية
447;ca;bs;Catalan
448;ca;bg;Каталонски
449;ca;ca;Català
450;ca;cs;Katalánština
451;ca;sk;Katalánčina
452;ca;cy;Catalan
453;ca;da;Catalan
454;ca;el;Καταλανικα
455;ca;eo;Catalan
456;ca;et;Catalan
457;ca;eu;Catalan
